"id","code","cc_code","expired","rewards","comment","created"
"1","OnceHuman0710",NULL,"Yes","Camouflage (Vehicle skin, color)",NULL,"2024-09-27 23:04:00"
"2","OnceHumanTBG","yes","Yes","300x Energy Link,2x Activator,1x Adrenaline Shot",NULL,"2024-09-27 23:04:00"
"3","OnceHumanKFBT","yes","Yes","300x Energy Link,2x Activator,1x Adrenaline Shot",NULL,"2024-09-27 23:04:00"
"4","OnceHumanIGP","yes","Yes","300x Energy Link,2x Activator,1x Adrenaline Shot",NULL,"2024-09-27 23:04:00"
"5","OnceHumanJRpt","yes","Yes","300x Energy Link,2x Activator,1x Adrenaline Shot",NULL,"2024-09-27 23:04:00"
"7","OnceHumanMMOB","yes","Yes","300x Energy Link,2x Activator,1x Adrenaline Shot",NULL,"2024-09-27 23:04:00"
"8","OH000007",NULL,NULL,"2x Activator,300x Energy Link",NULL,"2024-09-27 23:04:00"
"9","hyd7my66rt",NULL,"Yes","2x Activator,300x Energy Link,1x Adrenaline Shot",NULL,"2024-09-27 23:04:00"
"10","OH777777",NULL,"Yes","2x Activator,300x Energy Link",NULL,"2024-09-27 23:04:00"
"13","fcnx8nhxj7",NULL,"Yes","300x Energy Link, 2x Activator, 1x Adrenaline Shot",NULL,"2024-09-27 23:04:00"
"14","cdym4mxdnh",NULL,"Yes","200x Energy Link,2x Sanity Gummies",NULL,"2024-09-27 23:04:00"
"15","OnceHumanCrow","yes","Yes","300x Energy Link,2x Activator,1x Adrenaline Shot",NULL,"2024-09-27 23:04:00"
"16","ONCEHUMAN0815",NULL,"Yes","500x Starchrom, 1x Butterfly Emissary Crate I","CLAIM BEFORE MAINTENANCE!","2024-09-27 23:04:00"
"17","ONCEHUMANNEWS",NULL,"Yes","500x Starchrom, 1x Butterfly Emissary Crate I","VALID UNTIL AUGUSTUS 18","2024-09-27 23:04:00"
"18","oncehuman0920",NULL,"Yes","500x Starchrom, 1x Butterfly Emissary Crate I","VALID UNTIL OCTOBER 31","2024-09-27 23:04:00"
"19","ck4664kqw4",NULL,"Yes","500x Starchrom, 1x Butterfly Emissary Crate I","VALID UNTIL OCTOBER 31","2024-09-27 23:04:00"
"20","OnceHUMAN1010",NULL,"Yes","500x Starchrom, 1x Butterfly Emissary Crate I",NULL,"2024-10-11 20:40:53"
"21","JTA6DXDRYR",NULL,"Yes","500x Starchrom, 1x Butterfly Emissary Crate I",NULL,"2024-10-11 20:41:58"
"22","37crashcourse",NULL,"Yes","2x Activator, 1x Adrenaline Shot, 50x Stardust Source",NULL,"2024-10-11 20:43:26"
"23","HALLOWEEN2024",NULL,"Yes","1x Butterfly Emissary Crate I, 1x Stardust Corn Ale, 3x Quick Activator, 50x Stardust Source, 1x Canned Lunch Meat","VALID UNTIL NOVEMBER 25","2024-10-30 11:31:03"
"24","LGIOLGIO",NULL,"Yes","3x Butterfly Emissary Crate I, 2x Activator, 1x Startdust Energy Drink",NULL,"2024-11-08 14:30:39"
"25","HJDPYT8KWY",NULL,"Yes","5x Butterfly Emissary Crate I, 3x Activator, 1x Stardust Energy Drink","Happy Thanksgiving. Expires on Dec 3","2024-12-01 16:30:20"
"26","rhm4tk3e6e",NULL,"Yes","1000x Starchrom",NULL,"2024-12-19 13:24:36"
"27","xcx3r4dhka",NULL,"Yes","1000x Starchrom",NULL,"2024-12-19 13:25:42"
"28","pmn8th8r7y",NULL,"Yes","1x Stardust Energy Drink, 5x Butterfly Emissary Crate I, 2x Activator, 100x Wish Badge","Happy Holiday to all Metas! Expires on Jan 1 2025","2024-12-25 22:27:55"
"29","QJQWWNMC4R",NULL,NULL,"1000x Starchrom",NULL,"2025-01-23 19:51:20"
"30","ASJM36TW7Y",NULL,NULL,"1000x Starchrom",NULL,"2025-01-23 19:51:26"
"31","td6jfm4y6n",NULL,"Yes","1x Stardust Energy Drink, 5x Butterfly Emissary Crate I, 2x Activator",NULL,"2025-01-28 15:58:39"
